City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
432,Wajir,KE,79.66,overcast clouds,1.7471,40.0573,Al-bustan Hotel And Restaurant.
439,Entre Rios,BR,75.36,overcast clouds,-11.9419,-38.0844,Jambalaya Pousada
444,Jardim,BR,89.94,broken clouds,-21.4803,-56.1381,Estancia Hotel - Jardim MS
445,Miraflores,MX,82.4,few clouds,19.2167,-98.8083,Hotel Mansión
447,Santa Isabel Do Rio Negro,BR,85.59,overcast clouds,-0.4139,-65.0192,Hotel GSA
449,Saint-Joseph,RE,78.8,light rain,-21.3667,55.6167,"""Plantation Bed and Breakfast"
452,Kalur Kot,PK,76.57,scattered clouds,32.1564,71.2594,CHAAND STREET
454,Lorengau,PG,80.8,light rain,-2.0226,147.2712,Lorengau Harbourside Hotel
457,Hambantota,LK,79.11,clear sky,6.1241,81.1185,Bungalow 63
459,Khed,IN,82.56,overcast clouds,17.7167,73.3833,Swagat Lodge
460,Pandan,PH,77.94,overcast clouds,14.0453,124.1694,Bonifacio Lodge
467,Kudat,MY,80.6,few clouds,6.8837,116.8477,Dream Garden Hotel
472,Najran,SA,75.2,clear sky,17.4924,44.1277,محمد هادي ال فطيح
478,Sao Joao Da Barra,BR,80.6,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
480,Vao,NC,77.67,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
481,Meadow Lake,US,75.99,few clouds,34.8014,-106.5436,JKL Inc. R.V Park and Storage
485,Sechura,PE,79.12,scattered clouds,-5.5569,-80.8222,Hospedaje Costa Bella
490,Bahile,PH,76.32,overcast clouds,9.9995,118.7878,Hillside Resort Palawan
492,Dong Hoi,VN,75.06,scattered clouds,17.4833,106.6,Nam Long Hotel
494,Kudahuvadhoo,MV,82.22,scattered clouds,2.6708,72.8944,Niyama Private Islands Maldives
495,Bambanglipuro,ID,77.9,moderate rain,-7.95,110.2833,Puri Brata
498,Cairns,AU,75.2,broken clouds,-16.9167,145.7667,Mantra Trilogy Cairns
502,Belmonte,BR,78.8,broken clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
504,Ahuimanu,US,77.0,few clouds,21.4447,-157.8378,Paradise Bay Resort
511,Posse,BR,77.36,overcast clouds,-14.0931,-46.3694,Pousada das Palmeiras
512,Ugoofaaru,MV,82.83,few clouds,5.6667,73.0,Ungoofaaru Inn
514,Puerto Asis,CO,87.8,scattered clouds,0.5133,-76.5007,Ayawaska Hostal
518,San Andres,CO,86.0,broken clouds,12.5847,-81.7006,Hotel Arena Blanca
519,Awbari,LY,76.41,overcast clouds,26.5921,12.7805,فندق أوباري
524,Kaman,IN,79.75,clear sky,27.65,77.2667,Dr.kishan kaman
525,Torit,SS,76.91,light rain,4.4133,32.5678,Diplomat Guest House
526,Labuhan,ID,77.99,overcast clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
527,Ewa Beach,US,78.8,clear sky,21.3156,-158.0072,Uncle Junior Robert
528,Sinnamary,GF,79.9,broken clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
529,Vila Velha,BR,78.8,clear sky,-20.3297,-40.2925,Quality Suites Vila Velha
530,Kieta,PG,78.44,moderate rain,-6.2167,155.6333,Uruna Bay Retreat
533,Pimentel,PE,75.2,few clouds,-6.8367,-79.9342,Casona Del Muelle
535,Twentynine Palms,US,86.0,clear sky,34.1356,-116.0542,Holiday Inn Express & Suites Twentynine Palms- Joshua Tree
540,Tambilil,PH,78.37,overcast clouds,5.9622,124.6697,Wilfredo Sotto Home
547,Road Town,VG,78.8,few clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
548,Bairiki,KI,78.8,light rain,1.3292,172.9752,Tarawa Boutique Hotel
549,Sao Filipe,CV,75.34,scattered clouds,14.8961,-24.4956,Tortuga B&B
551,Takoradi,GH,81.52,broken clouds,4.8845,-1.7554,Raybow International Hotel
552,Rong Kwang,TH,79.0,overcast clouds,18.339000000000002,100.3174,Rong Kwang Hotel
554,San Cristobal,VE,87.8,scattered clouds,7.7669,-72.225,Posada Villaven C.A.
555,Uniara,IN,78.75,clear sky,26.15,75.2167,Super rajasthani masti comedy
561,Kulhudhuffushi,MV,82.6,clear sky,6.6221,73.07,Haajy Guest House 1
564,Luganville,VU,78.17,overcast clouds,-15.5333,167.1667,The Espiritu Hotel
565,Denpasar,ID,80.6,few clouds,-8.65,115.2167,ASTON Denpasar Hotel & Convention Center
571,Bartica,GY,78.8,broken clouds,6.4,-58.6167,Relax Inn Hotel
573,Cotorra,CO,89.33,broken clouds,9.0389,-75.7897,RANCHO DE LUCIA
574,Barra Do Garcas,BR,89.6,few clouds,-15.89,-52.2567,Hotel Pousada Tropical
576,Cap Malheureux,MU,80.01,overcast clouds,-19.9842,57.6142,Pereybere Hotel & Spa
578,Cabo San Lucas,MX,78.8,scattered clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
579,Soyo,AO,79.61,overcast clouds,-6.1349,12.3689,Hotel Mpampa
580,Terenos,BR,89.6,scattered clouds,-20.4422,-54.8603,QUINTAS
587,Kirakira,SB,81.18,overcast clouds,-10.4544,161.9205,SanBiz Lodge
590,Cosala,MX,82.99,few clouds,24.4125,-106.6908,Hotel Real del Conde
591,Majene,ID,77.63,overcast clouds,-3.5403,118.9707,Kost Putri RABBANI
593,Dickinson,US,86.0,clear sky,29.4608,-95.0513,Hampton Inn & Suites Houston/League City
595,Nhulunbuy,AU,78.8,overcast clouds,-12.2333,136.7667,East Arnhem Real Estate
599,Kalmunai,LK,78.69,broken clouds,7.4167,81.8167,VS Villa
601,Mangaluru,IN,78.8,few clouds,12.8667,74.8833,Goldfinch Mangaluru
603,Kluang,MY,77.0,few clouds,2.0251,103.3328,Hotel Anika
610,Dzaoudzi,YT,77.0,light rain,-12.7887,45.2699,Le Rocher
617,Itarema,BR,80.98,broken clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
623,Tonantins,BR,76.89,overcast clouds,-2.8731,-67.8022,Hotel Rei Davi
629,Kalol,IN,81.52,clear sky,22.6,73.45,NANDINI CATERING SERVICE
633,Mayumba,GA,78.55,overcast clouds,-3.432,10.6554,LIKWALE LODGE
634,Caravelas,BR,75.58,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
636,Banyuwangi,ID,75.54,broken clouds,-8.2325,114.3576,Hotel Blambangan Banyuwangi
638,Batticaloa,LK,79.52,overcast clouds,7.7102,81.6924,Grand Star Guest House
639,Eydhafushi,MV,82.8,clear sky,5.1033,73.0708,Soneva Fushi
641,Teahupoo,PF,86.0,light rain,-17.8333,-149.2667,Vanira Lodge
643,Fortaleza,BR,86.0,clear sky,-3.7227,-38.5247,Hotel Sonata de Iracema
647,Honiara,SB,80.04,overcast clouds,-9.4333,159.95,Heritage Park Hotel
649,Pital,CO,80.6,scattered clouds,2.2665,-75.8044,Finca el Rebaño Vida el Uvital
659,Saint-Georges,GD,86.0,broken clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
662,Maues,BR,80.76,light rain,-3.3836,-57.7186,Hotel Miramar
663,Araioses,BR,80.06,overcast clouds,-2.89,-41.9031,Pousada Vale do magu
666,Sao Jose Da Coroa Grande,BR,77.61,overcast clouds,-8.8978,-35.1478,Crôa Mares Hotel
670,Trinidad,BO,84.2,moderate rain,-14.8333,-64.9,Hotel Piesta
674,Tomatlan,MX,86.95,broken clouds,19.9333,-105.25,Norma franco
675,Sao Felix Do Xingu,BR,76.19,light rain,-6.6447,-51.995,Rio Xingu Camping
678,Las Matas De Farfan,DO,84.18,broken clouds,18.8731,-71.5166,Casa Uben y Yolanda
679,Hobyo,SO,82.58,clear sky,5.3505,48.5268,Halane Hotel and Restaurent
