City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
68,Albany,US,2021-04-07 23:19:49,42.6001,-73.9662,62.6,48,20,5.75
69,Raymond,US,2021-04-07 23:19:49,43.9015,-70.4703,60.8,55,90,6.91
70,Grand Gaube,MU,2021-04-07 23:19:50,-20.0064,57.6608,80.01,76,100,5.01
71,Butaritari,KI,2021-04-07 23:15:43,3.0707,172.7902,81.63,78,16,13.87
72,Richards Bay,ZA,2021-04-07 23:19:50,-28.783,32.0377,70.16,84,96,10.11
73,Melun,FR,2021-04-07 23:19:51,48.5,2.75,43.0,65,0,3.44
74,Cidreira,BR,2021-04-07 23:19:51,-30.1811,-50.2056,74.14,74,1,21.5
75,Marsh Harbour,BS,2021-04-07 23:16:56,26.5412,-77.0636,70.48,46,35,8.01
76,Georgetown,MY,2021-04-07 23:19:51,5.4112,100.3354,78.8,94,20,1.36
77,Victoria,HK,2021-04-07 23:17:06,22.2855,114.1577,73.0,78,97,1.99
78,Klaksvik,FO,2021-04-07 23:16:05,62.2266,-6.589,33.8,100,100,25.32
79,Tessalit,ML,2021-04-07 23:19:52,20.1986,1.0114,82.02,10,41,9.06
80,Tiksi,RU,2021-04-07 23:15:31,71.6872,128.8694,-6.09,93,100,3.06
81,Calama,CL,2021-04-07 23:17:16,-22.4667,-68.9333,68.0,15,0,17.27
82,Longyearbyen,SJ,2021-04-07 23:19:53,78.2186,15.6401,24.8,63,75,14.97
83,San Patricio,US,2021-04-07 23:19:53,28.017,-97.5169,86.0,74,75,11.5
84,Faanui,PF,2021-04-07 23:19:53,-16.4833,-151.75,81.39,67,73,12.86
85,Saskylakh,RU,2021-04-07 23:19:54,71.9167,114.0833,0.81,96,100,5.12
86,Olafsvik,IS,2021-04-07 23:19:54,64.8945,-23.7142,27.19,81,100,44.72
87,Mandalgovi,MN,2021-04-07 23:19:54,45.7625,106.2708,36.1,40,42,8.16
88,Pacifica,US,2021-04-07 23:19:55,37.6138,-122.4869,57.2,58,75,23.02
89,Thompson,CA,2021-04-07 23:19:55,55.7435,-97.8558,48.2,43,20,8.05
90,Doctor Juan Leon Mallorquin,PY,2021-04-07 23:19:55,-25.4,-55.2667,78.8,65,0,4.61
91,Fortuna,US,2021-04-07 23:19:56,40.5982,-124.1573,54.0,71,90,10.36
92,Cabo San Lucas,MX,2021-04-07 23:19:56,22.8909,-109.9124,82.4,39,40,12.66
93,Xiaoweizhai,CN,2021-04-07 23:19:56,26.1903,107.5125,52.32,92,100,4.7
94,Saldanha,ZA,2021-04-07 23:16:12,-33.0117,17.9442,60.8,82,52,8.05
95,Ambilobe,MG,2021-04-07 23:19:57,-13.2,49.05,73.02,94,51,3.27
96,Bambous Virieux,MU,2021-04-07 23:19:57,-20.3428,57.7575,80.01,83,75,8.05
97,Yulara,AU,2021-04-07 23:17:03,-25.2406,130.9889,69.8,37,0,6.91
98,Kavaratti,IN,2021-04-07 23:19:14,10.5669,72.642,83.21,72,20,7.74
99,Port Elizabeth,ZA,2021-04-07 23:19:40,-33.918,25.5701,64.4,94,90,9.22
100,Rio Gallegos,AR,2021-04-07 23:19:58,-51.6226,-69.2181,55.4,58,75,3.44
101,Suntar,RU,2021-04-07 23:19:58,62.1444,117.6319,33.37,98,100,6.08
102,Vaini,TO,2021-04-07 23:15:32,-21.2,-175.2,80.6,69,20,8.05
103,Severo-Kurilsk,RU,2021-04-07 23:19:59,50.6789,156.125,31.59,89,100,47.09
104,Lagoa,PT,2021-04-07 23:19:59,39.05,-27.9833,59.47,90,27,23.0
105,Chapais,CA,2021-04-07 23:17:45,49.7834,-74.8492,55.4,58,1,2.48
106,Puerto Ayora,EC,2021-04-07 23:20:00,-0.7393,-90.3518,80.6,78,75,9.22
107,Lugus,PH,2021-04-07 23:20:00,5.7036,120.8203,80.33,77,99,2.98
108,Bonfim,BR,2021-04-07 23:20:00,3.0833,-59.95,76.87,81,96,7.52
109,Saint Stephen,GB,2021-04-07 23:15:05,50.3333,-4.9,41.0,70,90,4.61
110,Lorengau,PG,2021-04-07 23:20:01,-2.0226,147.2712,80.56,84,100,12.59
111,Coihaique,CL,2021-04-07 23:20:03,-45.5752,-72.0662,53.6,54,75,6.91
112,New Norfolk,AU,2021-04-07 23:20:03,-42.7826,147.0587,62.01,47,97,1.01
113,Jiuquan,CN,2021-04-07 23:20:03,39.7432,98.5174,45.61,34,31,5.1
114,Belmonte,BR,2021-04-07 23:17:00,-15.8631,-38.8828,75.2,83,40,1.14
115,Mataura,NZ,2021-04-07 23:20:04,-46.1927,168.8643,60.01,80,32,5.99
116,Varhaug,NO,2021-04-07 23:20:04,58.6147,5.6457,33.01,87,99,1.01
117,Vila Velha,BR,2021-04-07 23:20:05,-20.3297,-40.2925,75.0,94,0,4.61
118,Tuatapere,NZ,2021-04-07 23:20:05,-46.1333,167.6833,60.01,76,22,7.0
